"_","Id","Original_Opportunity__c","Original_Opportunity__r","Original_Opportunity__r.CloseDate","CurrencyIsoCode"
"[Asset]","02ifJ000000D86FQAS","006fJ000006OgnGQAS","[Opportunity]","2024-07-29","USD"
"[Asset]","02ifJ000000D86GQAS","006fJ000006OeqoQAC","[Opportunity]","2024-09-30","USD"
"[Asset]","02ifJ000000D86HQAS","006fJ000006Oi4sQAC","[Opportunity]","2025-03-24","EUR"
"[Asset]","02ifJ000000D86IQAS","006fJ000006OfxZQAS","[Opportunity]","2025-03-26","EUR"
"[Asset]","02ifJ000000D86JQAS","006fJ000006OiShQAK","[Opportunity]","2025-03-28","USD"
"[Asset]","02ifJ000000D87pQAC","006fJ000006OgnKQAS","[Opportunity]","2024-06-28","EUR"
"[Asset]","02ifJ000000D87qQAC","006fJ000006Oer6QAC","[Opportunity]","2024-06-17","EUR"
"[Asset]","02ifJ000000D87rQAC","006fJ000006OiznQAC","[Opportunity]","2024-08-08","USD"
"[Asset]","02ifJ000000D87tQAC","006fJ000006OisnQAC","[Opportunity]","2025-05-15","USD"
"[Asset]","02ifJ000000D87uQAC","006fJ000006OiszQAC","[Opportunity]","2024-09-04","USD"
"[Asset]","02ifJ000000D87vQAC","006fJ000006OiqwQAC","[Opportunity]","2025-05-19","USD"
"[Asset]","02ifJ000000D87wQAC","006fJ000006OjB7QAK","[Opportunity]","2024-09-30","USD"
"[Asset]","02ifJ000000D87xQAC","006fJ000006OiSiQAK","[Opportunity]","2025-03-31","USD"
"[Asset]","02ifJ000000D87yQAC","006fJ000006Oj09QAC","[Opportunity]","2024-11-26","USD"
"[Asset]","02ifJ000000D89RQAS","006fJ000006OgnKQAS","[Opportunity]","2024-06-28","EUR"
"[Asset]","02ifJ000000D89SQAS","006fJ000006OiT4QAK","[Opportunity]","2024-07-30","EUR"
"[Asset]","02ifJ000000D89TQAS","006fJ000006OiKxQAK","[Opportunity]","2024-12-11","USD"
"[Asset]","02ifJ000000D8B3QAK","006fJ000006Oer6QAC","[Opportunity]","2024-06-17","EUR"
"[Asset]","02ifJ000000D8B4QAK","006fJ000006Oiv1QAC","[Opportunity]","2024-11-06","USD"
"[Asset]","02ifJ000000D8B5QAK","006fJ000006OijZQAS","[Opportunity]","2025-03-28","USD"
"[Asset]","02ifJ000000D8CfQAK","006fJ000006Oer6QAC","[Opportunity]","2024-06-17","EUR"
"[Asset]","02ifJ000000D8CgQAK","006fJ000006OiT4QAK","[Opportunity]","2024-07-30","EUR"
"[Asset]","02ifJ000000D8ChQAK","006fJ000006OimdQAC","[Opportunity]","2024-05-07","USD"
"[Asset]","02ifJ000000D8CiQAK","006fJ000006OjBNQA0","[Opportunity]","2024-07-03","USD"
"[Asset]","02ifJ000000D8CjQAK","006fJ000006OjAfQAK","[Opportunity]","2025-04-07","USD"
"[Asset]","02ifJ000000D8CkQAK","006fJ000006OjBOQA0","[Opportunity]","2025-06-13","USD"
"[Asset]","02ifJ000000D8EHQA0","006fJ000006OiyvQAC","[Opportunity]","2024-06-13","EUR"
"[Asset]","02ifJ000000D8EIQA0","006fJ000006P4BSQA0","[Opportunity]","2024-06-27","USD"
"[Asset]","02ifJ000000D8EJQA0","006fJ000006Ogn7QAC","[Opportunity]","2025-04-09","USD"
"[Asset]","02ifJ000000D8EKQA0","006fJ000006OizFQAS","[Opportunity]","2025-05-07","USD"
"[Asset]","02ifJ000000D8FtQAK","006fJ000006OiyvQAC","[Opportunity]","2024-06-13","EUR"
"[Asset]","02ifJ000000D8FuQAK","006fJ000006OerZQAS","[Opportunity]","2024-12-19","USD"
"[Asset]","02ifJ000000D8FvQAK","006fJ000006OgmUQAS","[Opportunity]","2025-02-12","USD"
"[Asset]","02ifJ000000D8FwQAK","006fJ000006OjBOQA0","[Opportunity]","2025-06-13","USD"
"[Asset]","02ifJ000000D8HVQA0","006fJ000006OiyvQAC","[Opportunity]","2024-06-13","EUR"
"[Asset]","02ifJ000000D8HWQA0","006fJ000006OiznQAC","[Opportunity]","2024-08-08","USD"
"[Asset]","02ifJ000000D8HXQA0","006fJ000006OjAEQA0","[Opportunity]","2024-06-28","USD"
"[Asset]","02ifJ000000D8J7QAK","006fJ000006OiyvQAC","[Opportunity]","2024-06-13","EUR"
"[Asset]","02ifJ000000D8J8QAK","006fJ000006OiKoQAK","[Opportunity]","2024-09-30","EUR"
"[Asset]","02ifJ000000D8J9QAK","006fJ000006OiuxQAC","[Opportunity]","2024-09-28","USD"
"[Asset]","02ifJ000000D8JAQA0","006fJ000006OjBKQA0","[Opportunity]","2024-07-03","USD"
"[Asset]","02ifJ000000D8JBQA0","006fJ000006OgmAQAS","[Opportunity]","2024-06-25","USD"
"[Asset]","02ifJ000000D8KjQAK","006fJ000006OiznQAC","[Opportunity]","2024-08-08","USD"
"[Asset]","02ifJ000000D8KlQAK","006fJ000006OimdQAC","[Opportunity]","2024-05-07","USD"
"[Asset]","02ifJ000000D8KmQAK","006fJ000006OitaQAC","[Opportunity]","2024-11-18","USD"
"[Asset]","02ifJ000000D8KnQAK","006fJ000006OimMQAS","[Opportunity]","2024-05-31","EUR"
"[Asset]","02ifJ000000D8MLQA0","006fJ000006OiznQAC","[Opportunity]","2024-08-08","USD"
"[Asset]","02ifJ000000D8MMQA0","006fJ000006OiL6QAK","[Opportunity]","2024-06-28","USD"
"[Asset]","02ifJ000000D8NyQAK","006fJ000006OfwHQAS","[Opportunity]","2024-12-23","USD"
"[Asset]","02ifJ000000D8PaQAK","006fJ000006Of44QAC","[Opportunity]","2024-12-10","USD"
"[Asset]","02ifJ000000D8PbQAK","006fJ000006OiL6QAK","[Opportunity]","2024-06-28","USD"
"[Asset]","02ifJ000000D8PcQAK","006fJ000006OgmPQAS","[Opportunity]","2024-12-09","USD"
"[Asset]","02ifJ000000D8RBQA0","006fJ000006OiT4QAK","[Opportunity]","2024-07-30","EUR"
"[Asset]","02ifJ000000D8RCQA0","006fJ000006OimzQAC","[Opportunity]","2024-09-06","USD"
"[Asset]","02ifJ000000D8RDQA0","006fJ000006OfxBQAS","[Opportunity]","2025-01-21","USD"
"[Asset]","02ifJ000000D8SnQAK","006fJ000006OiSsQAK","[Opportunity]","2024-07-29","USD"
"[Asset]","02ifJ000000D8UPQA0","006fJ000006OgmYQAS","[Opportunity]","2024-09-05","USD"
"[Asset]","02ifJ000000D8W1QAK","006fJ000006OissQAC","[Opportunity]","2025-03-04","EUR"
"[Asset]","02ifJ000000D8W2QAK","006fJ000006OfxnQAC","[Opportunity]","2024-12-11","EUR"
"[Asset]","02ifJ000000D8W3QAK","006fJ000006OiwyQAC","[Opportunity]","2024-11-25","USD"
"[Asset]","02ifJ000000D8W4QAK","006fJ000006Oim7QAC","[Opportunity]","2025-03-18","USD"
"[Asset]","02ifJ000000D8W5QAK","006fJ000006OfxZQAS","[Opportunity]","2025-03-26","EUR"
"[Asset]","02ifJ000000D8W6QAK","006fJ000006Oi4mQAC","[Opportunity]","2025-05-17","USD"
"[Asset]","02ifJ000000D8W7QAK","006fJ000006OjBPQA0","[Opportunity]","2025-03-17","USD"
"[Asset]","02ifJ000000D8W8QAK","006fJ000006Oi52QAC","[Opportunity]","2025-04-22","USD"
"[Asset]","02ifJ000000D8XdQAK","006fJ000006OissQAC","[Opportunity]","2025-03-04","EUR"
"[Asset]","02ifJ000000D8XeQAK","006fJ000006OiKxQAK","[Opportunity]","2024-12-11","USD"
"[Asset]","02ifJ000000D8XfQAK","006fJ000006OjB5QAK","[Opportunity]","2025-03-28","EUR"
"[Asset]","02ifJ000000D8XgQAK","006fJ000006OjBPQA0","[Opportunity]","2025-03-17","USD"
"[Asset]","02ifJ000000D8ZFQA0","006fJ000006OiKoQAK","[Opportunity]","2024-09-30","EUR"
"[Asset]","02ifJ000000D8arQAC","006fJ000006OiKoQAK","[Opportunity]","2024-09-30","EUR"
"[Asset]","02ifJ000000D8asQAC","006fJ000006Of4hQAC","[Opportunity]","2024-11-04","EUR"
"[Asset]","02ifJ000000D8cTQAS","006fJ000006OeqdQAC","[Opportunity]","2023-12-18","USD"
"[Asset]","02ifJ000000D8cUQAS","006fJ000006Of3mQAC","[Opportunity]","2024-09-12","USD"
"[Asset]","02ifJ000000D8cVQAS","006fJ000006OgnGQAS","[Opportunity]","2024-07-29","USD"
"[Asset]","02ifJ000000D8cWQAS","006fJ000006OjAEQA0","[Opportunity]","2024-06-28","USD"
"[Asset]","02ifJ000000D8e5QAC","006fJ000006OeqdQAC","[Opportunity]","2023-12-18","USD"
"[Asset]","02ifJ000000D8fhQAC","006fJ000006OiT7QAK","[Opportunity]","2024-12-10","EUR"
"[Asset]","02ifJ000000D8fiQAC","006fJ000006Ofx1QAC","[Opportunity]","2025-02-18","EUR"
"[Asset]","02ifJ000000D8fjQAC","006fJ000006OimIQAS","[Opportunity]","2024-12-30","USD"
"[Asset]","02ifJ000000D8hJQAS","006fJ000006OiKoQAK","[Opportunity]","2024-09-30","EUR"
"[Asset]","02ifJ000000D8ivQAC","006fJ000006OiT7QAK","[Opportunity]","2024-12-10","EUR"
"[Asset]","02ifJ000000D8iwQAC","006fJ000006Of4UQAS","[Opportunity]","2025-02-28","USD"
"[Asset]","02ifJ000000D8ixQAC","006fJ000006OjB9QAK","[Opportunity]","2024-08-30","USD"
"[Asset]","02ifJ000000D8iyQAC","006fJ000006Of3SQAS","[Opportunity]","2025-02-18","USD"
"[Asset]","02ifJ000000D8izQAC","006fJ000006OiwOQAS","[Opportunity]","2025-02-04","USD"
"[Asset]","02ifJ000000D8j0QAC","006fJ000006OiuSQAS","[Opportunity]","2025-06-03","EUR"
"[Asset]","02ifJ000000D8kXQAS","006fJ000006OivnQAC","[Opportunity]","2024-12-02","EUR"
"[Asset]","02ifJ000000D8m9QAC","006fJ000006OivnQAC","[Opportunity]","2024-12-02","EUR"
"[Asset]","02ifJ000000D8mAQAS","006fJ000006OiSjQAK","[Opportunity]","2024-12-06","USD"
"[Asset]","02ifJ000000D8nlQAC","006fJ000006OivnQAC","[Opportunity]","2024-12-02","EUR"
"[Asset]","02ifJ000000D8nmQAC","006fJ000006OjBIQA0","[Opportunity]","2024-11-06","USD"
"[Asset]","02ifJ000000D8nnQAC","006fJ000006Oj09QAC","[Opportunity]","2024-11-26","USD"
"[Asset]","02ifJ000000D8pOQAS","006fJ000006OjB0QAK","[Opportunity]","2025-03-12","USD"
"[Asset]","02ifJ000000D8pPQAS","006fJ000006OjAfQAK","[Opportunity]","2025-04-07","USD"
"[Asset]","02ifJ000000D8r0QAC","006fJ000006OiwlQAC","[Opportunity]","2024-11-25","EUR"
"[Asset]","02ifJ000000D8r1QAC","006fJ000006OjBNQA0","[Opportunity]","2024-07-03","USD"
"[Asset]","02ifJ000000D8r2QAC","006fJ000006OiuaQAC","[Opportunity]","2024-06-17","USD"
"[Asset]","02ifJ000000D8sbQAC","006fJ000006Ofx1QAC","[Opportunity]","2025-02-18","EUR"
"[Asset]","02ifJ000000D8scQAC","006fJ000006OinCQAS","[Opportunity]","2024-05-06","USD"
"[Asset]","02ifJ000000D8sdQAC","006fJ000006OiqwQAC","[Opportunity]","2025-05-19","USD"
"[Asset]","02ifJ000000D8uDQAS","006fJ000006OfxnQAC","[Opportunity]","2024-12-11","EUR"
"[Asset]","02ifJ000000D8uEQAS","006fJ000006OimdQAC","[Opportunity]","2024-05-07","USD"
"[Asset]","02ifJ000000D8uFQAS","006fJ000006OimDQAS","[Opportunity]","2024-12-12","USD"
"[Asset]","02ifJ000000D8uGQAS","006fJ000006OeqZQAS","[Opportunity]","2024-05-27","USD"
"[Asset]","02ifJ000000D8uHQAS","006fJ000006OglxQAC","[Opportunity]","2025-04-02","USD"
"[Asset]","02ifJ000000D8uIQAS","006fJ000006Oiv1QAC","[Opportunity]","2024-11-06","USD"
"[Asset]","02ifJ000000D8uJQAS","006fJ000006OiSiQAK","[Opportunity]","2025-03-31","USD"
"[Asset]","02ifJ000000D8uKQAS","006fJ000006OivNQAS","[Opportunity]","2025-03-07","USD"
"[Asset]","02ifJ000000D8uLQAS","006fJ000006OizFQAS","[Opportunity]","2025-05-07","USD"
"[Asset]","02ifJ000000D8uMQAS","006fJ000006OiStQAK","[Opportunity]","2025-05-07","USD"
"[Asset]","02ifJ000000D8vpQAC","006fJ000006Of4hQAC","[Opportunity]","2024-11-04","EUR"
"[Asset]","02ifJ000000D8xRQAS","006fJ000006Of4hQAC","[Opportunity]","2024-11-04","EUR"
"[Asset]","02ifJ000000D8xSQAS","006fJ000006Of4UQAS","[Opportunity]","2025-02-28","USD"
"[Asset]","02ifJ000000D8xTQAS","006fJ000006OerZQAS","[Opportunity]","2024-12-19","USD"
"[Asset]","02ifJ000000D8xUQAS","006fJ000006Oi51QAC","[Opportunity]","2025-05-16","USD"
"[Asset]","02ifJ000000D8z3QAC","006fJ000006OiukQAC","[Opportunity]","2024-12-20","EUR"
